created_at,entities,lang,text,context_annotations.hashtags,context_annotations.user_mentions,public_metrics.likes,keyword
2023-07-16T12:48:15.000Z,[],en,"""Did you say every unmasked healthcare worker here is negligent and pathetic?""

Me: https://t.co/UYBli1EKzt",[],[],13,England
2023-07-15T23:54:58.000Z,[],en,"People in #KanataCarleton have felt underrepresented by previous Conservative MPPs, and now the PC candidate doesn’t feel our community is worth his time.

I'm a healthcare worker who cares about this community and understands the issues. Please vote for me on July 27! #ONpoli https://t.co/ZFtDJwmRtR","['KanataCarleton', 'ONpoli']",[],155,England
2023-07-12T19:01:38.000Z,[],en,"As I have said before, what happened to me must never happen to anyone ever again.

The criminalisation of ethnic minority and migrant women survivors of domestic abuse must end. https://t.co/cxuOqbAonZ",[],[],982,England
2023-07-16T07:40:14.000Z,[],en,"Those hoping to rejoin the EU, will be devastated today as the United Kingdom joins CPTPP. 

Worth 12 trillion to our economy, 100's of millions of customers

Think EU... but without the Laws and Superstate, without an Army, without Taxes, Without Courts. 

It's all about trade. https://t.co/ixqvlUyWZ4",[],[],1054,England
2023-07-16T09:00:00.000Z,[],en,Ian Wright did everything he could to get Declan Rice to join Arsenal 😅 https://t.co/nVOa3ZJP3T,[],[],11961,England
2023-06-19T15:00:02.000Z,[],en,"The only real-time generative AI app for video chatting, live streaming, and video creation.",[],[],761,England
2023-07-15T23:49:07.000Z,[],en,"the next slide is titled: EXPLORING YOUR SEXUALITY: HEALTHY, BUT DOES IT HAVE TO BE WITH THE PRINCE OF ENGLAND? https://t.co/qYrnL4JTbT",[],[],4032,England
2023-07-15T09:59:10.000Z,[],en,"Just Stop Oil spokesman, Jane Touil, on TalkRadio, 
says people who use use oil products are guilty of genocide.

Note, her microfleece, glasses, and jacket zips are made from petroleum. https://t.co/lPIoG25XtG",[],[],7670,England
2023-07-07T12:46:48.000Z,[],en,On the repeated and passionate appeals of imran khan the masses finally stormed the streets to break the fear of slavery and bring revolution !!! https://t.co/wyS6U60nN4,[],[],3483,England
2023-07-16T05:45:57.000Z,[],en,Looks like we are just going to have Armando Broja &amp; Nicolas Jackson as our strikers when the season starts. Both great strikers with great potential. Are you happy with this? https://t.co/1UzYgITz0q,[],[],4629,England
